topico;edicao;ano;cidade_pais;agente_cargo;trecho_curto;trecho_discurso
Adaptação;COP13;2007;Bali, Indonésia;Celso Amorim, Ministro de Relações Exteriores;O Mapa do Caminho de Bali deve estabelecer marcos claros para negociar o futuro do regime até 2009, baseado nos quatro pilares de mitigação, adaptação, financiamento e tecnologia. O Fundo de Adaptação deve tornar-se operacional sem demora.;O Mapa do Caminho de Bali deve estabelecer marcos claros para negociar o futuro do regime até 2009, baseado nos quatro pilares de mitigação, adaptação, financiamento e tecnologia. O Fundo de Adaptação deve tornar-se operacional sem demora.
Adaptação;COP17;2011;Durban, África do Sul;Izabella Teixeira, Ministra do Meio Ambiente;A urgência dos desafios impostos pela mudança do clima requer que incrementemos ações tanto em mitigação quanto em adaptação, orientadas pela ciência e pela equidade.;A urgência dos desafios impostos pela mudança do clima requer que incrementemos ações tanto em mitigação quanto em adaptação, orientadas pela ciência e pela equidade. Países em desenvolvimento já estão contribuindo significativamente para o esforço global contra a mudança do clima, por meio de ações ambiciosas de mitigação, anunciadas nos últimos anos.
Adaptação;COP19;2013;Varsóvia, Polônia;Izabella Teixeira, Ministra do Meio Ambiente;As medidas de adaptação permanecem como prioridade absoluta.;As medidas de adaptação permanecem como prioridade absoluta. É preciso que a comunidade internacional devote atenção e mobilize recursos urgentemente para apoiar os mais vulneráveis, as comunidades desfavorecidas do mundo em desenvolvimento.
Adaptação;COP20;2014;Lima, Peru;Izabella Teixeira, Ministra do Meio Ambiente;Ações para reduzir as emissões e promover adaptação devem ser consideradas uma fonte de riqueza, uma vez que atraem investimentos e permitem novas iniciativas de desenvolvimento sustentável. Como o principal fórum internacional para abordar as mudanças climáticas, a Convenção deve desenvolver maneiras de reconhecer e promover o valor social de ações de mitigação e adaptação. Os esforços de mitigação e adaptação de países em desenvolvimento devem ser especialmente reconhecidos e premiados se quisermos aumentar essas ações no âmbito da Convenção.;Ações para reduzir as emissões e promover adaptação devem ser consideradas uma fonte de riqueza, uma vez que atraem investimentos e permitem novas iniciativas de desenvolvimento sustentável. Como o principal fórum internacional para abordar as mudanças climáticas, a Convenção deve desenvolver maneiras de reconhecer e promover o valor social de ações de mitigação e adaptação. Os esforços de mitigação e adaptação de países em desenvolvimento devem ser especialmente reconhecidos e premiados se quisermos aumentar essas ações no âmbito da Convenção.
Adaptação;COP21;2015;Paris, França;Dilma Rousseff, Presidenta;Frente às emissões cumulativas, ações de mitigação de gás de efeito estufa devem ser simultaneamente acompanhadas de medidas de adaptação nos países em desenvolvimento, em especial naqueles mais vulneráveis.;Frente às emissões cumulativas, ações de mitigação de gás de efeito estufa devem ser simultaneamente acompanhadas de medidas de adaptação nos países em desenvolvimento, em especial naqueles mais vulneráveis.
Adaptação;COP20;2014;Lima, Peru;Izabella Teixeira, Ministra do Meio Ambiente;Para atingir a meta de 2°C, o acordo deve ser robusto, e abranger mitigação, adaptação, e meios de implementação, ao nível considerado necessário para apoiar os países em desenvolvimento a atingir seu pleno potencial.;O novo acordo nos termos da Convenção deve ser universal, ambicioso e vinculante, respeitando os princípios e disposições resguardados pela UNFCCC. Para atingir a meta de 2°C, o acordo deve ser robusto, e abranger mitigação, adaptação, e meios de implementação, ao nível considerado necessário para apoiar os países em desenvolvimento a atingir seu pleno potencial.
Agenda 2030;COP21;2015;Paris, França;Dilma Rousseff, Presidenta;A COP21, estou segura, representará um marco histórico na construção do que é proposto na Agenda 2030: um mundo desenvolvido e inclusivo.;A COP21, estou segura, representará um marco histórico na construção do que é proposto na Agenda 2030: um mundo desenvolvido e inclusivo. Nada mais justo que isso ocorra nesta cidade, cenário de grandes transformações na História do mundo nos últimos séculos.
Agenda 2030;COP22;2016;Marraquexe, Marrocos;José Sarney Filho, Ministro do Meio Ambiente;A adoção da Agenda 2030 para o Desenvolvimento Sustentável também deve inspirar nossas ações à medida que construímos nossas estratégias de desenvolvimento de baixo carbono e inclusivas.;A adoção da Agenda 2030 para o Desenvolvimento Sustentável também deve inspirar nossas ações à medida que construímos nossas estratégias de desenvolvimento de baixo carbono e inclusivas. Devemos garantir que o bem-estar dos nossos cidadãos e a prosperidade das nossas nações sejam alcançados por meio de práticas eficazes de desenvolvimento sustentável, que não deixem ninguém para trás, afastem-se de padrões de produção e consumo insustentáveis e encontrem processos ecologicamente equilibrados para responder à crescente procura de alimentos e energia.
Agenda 2030;COP22;2016;Marraquexe, Marrocos;José Sarney Filho, Ministro do Meio Ambiente;A iteração entre os objetivos do Acordo de Paris e a Agenda 2030 abre uma oportunidade para promover ainda mais o desenvolvimento sustentável no contexto de economias de baixo carbono.;Nosso desafio é fazê-lo enquanto continuamos a tirar as pessoas da pobreza. A iteração entre os objetivos do Acordo de Paris e a Agenda 2030 abre uma oportunidade para promover ainda mais o desenvolvimento sustentável no contexto de economias de baixo carbono.
Agenda 2030;COP23;2017;Bonn, Alemanhã;José Sarney Filho, Ministro do Meio Ambiente;A implementação coordenada do Acordo de Paris e da Agenda 2030 está visceralmente associada ao equacionamento das necessidades de financiamento e mobilização de recursos.;A implementação coordenada do Acordo de Paris e da Agenda 2030 está visceralmente associada ao equacionamento das necessidades de financiamento e mobilização de recursos.
Agricultura e sistema alimentar;COP22;2016;Marraquexe, Marrocos;José Sarney Filho, Ministro do Meio Ambiente;Como um dos maiores produtores de alimentos do mundo, o Brasil entende a necessidade de desenvolver práticas agrícolas sustentáveis. Não há alternativa ao avanço em direção a uma agricultura resiliente e de baixo carbono, se quisermos enfrentar os riscos que a mudança dos padrões climáticos implica para a produção e oferta de alimentos. A presença do meu colega Ministro da Agricultura, Pecuária e Abastecimento nesta Conferência demonstra o elevado nível de interesse, compromisso e empenho do nosso setor agrícola.;Como um dos maiores produtores de alimentos do mundo, o Brasil entende a necessidade de desenvolver práticas agrícolas sustentáveis. Não há alternativa ao avanço em direção a uma agricultura resiliente e de baixo carbono, se quisermos enfrentar os riscos que a mudança dos padrões climáticos implica para a produção e oferta de alimentos. A presença do meu colega Ministro da Agricultura, Pecuária e Abastecimento nesta Conferência demonstra o elevado nível de interesse, compromisso e empenho do nosso setor agrícola.
Agricultura e sistema alimentar;COP23;2017;Bonn, Alemanhã;José Sarney Filho, Ministro do Meio Ambiente;No setor agropecuário, fixamos a meta de restaurar 15 milhões de hectares de pastagens degradadas até 2030 e aumentar 5 milhões de hectares de sistemas de integração lavoura-pecuária e florestas até 2030.;No setor agropecuário, fixamos a meta de restaurar 15 milhões de hectares de pastagens degradadas até 2030 e aumentar 5 milhões de hectares de sistemas de integração lavoura-pecuária e florestas até 2030. Os empresários do setor, que é o mais dinâmico na nossa economia, em termos de geração de empregos e exportações, estão apoiando nossas ações sob o Acordo de Paris, porque entendem que seus negócios dependem do sucesso que tenhamos no enfrentamento da mudança do clima em termos globais.
Agricultura e sistema alimentar;COP24;2018;Katowice, Polônia;Edson Duarte, Ministro do Meio Ambiente;Estamos nos distanciando de padrões de produção e consumo insustentáveis e encontrando processos equilibrados para responder à crescente demanda por alimentos e energia sustentáveis.;Estamos nos distanciando de padrões de produção e consumo insustentáveis e encontrando processos equilibrados para responder à crescente demanda por alimentos e energia sustentáveis.
Agricultura e sistema alimentar;COP24;2018;Katowice, Polônia;Edson Duarte, Ministro do Meio Ambiente;O setor agrícola brasileiro demonstra compromisso, interesse e empenho na promoção de uma agricultura resiliente. Nos últimos 8 anos a área com agricultura de baixa emissão de carbono foi ampliada em 27 milhões de hectares, com a mitigação de 127,3 milhões de toneladas de CO2.;O setor agrícola brasileiro demonstra compromisso, interesse e empenho na promoção de uma agricultura resiliente. Nos últimos 8 anos a área com agricultura de baixa emissão de carbono foi ampliada em 27 milhões de hectares, com a mitigação de 127,3 milhões de toneladas de CO2.
Agricultura e sistema alimentar;COP26;2021;Glasgow, Escócia;Joaquim Leite, Ministro do Meio Ambiente;Nossa agricultura de baixo carbono já restaurou quase 28 milhões de hectares de pastagens degradadas (...); Nossa agricultura de baixo carbono já restaurou quase 28 milhões de hectares de pastagens degradadas; temos 16 milhões de hectares de florestas nativas em recuperação (...)
Amazonia;COP10;2004;Buenos Aires, Argentina;Marina Silva, Ministra do Meio Ambiente;Destaco, neste particular, o esforço para reduzir drasticamente o desmatamento, especialmente na Amazonia.;O esforço de modelagem de cenários de vulnerabilidade é combinado com outras medidas no sentido da conservação do meio ambiente. Destaco, neste particular, o esforço para reduzir drasticamente o desmatamento, especialmente na Amazonia.
Amazonia;COP11;2005;Montreal, Canada;Marina Silva, Ministra do Meio Ambiente;(...) as ações que o nosso governo vinha tomando para reduzi-las, especialmente no que diz respeito à expressiva parcela de 75% decorrentes do desmatamento na Amazônia.;Durante a reunião de Buenos Aires, o Brasil apresentou ao mundo seu Comunicação Nacional. Na oportunidade, num trabalho de altíssima qualidade e transparência, apresentamos não apenas nosso inventário de emissões, mas, também, as ações que o nosso governo vinha tomando para reduzi-las, especialmente no que diz respeito à expressiva parcela de 75% decorrentes do desmatamento na Amazônia.
Amazonia;COP11;2005;Montreal, Canada;Marina Silva, Ministra do Meio Ambiente;É, portanto, com grande satisfação que compareço aqui para anunciar que, pela primeira vez, desde 1997, verifica-se redução nas taxas de desmatamento da Amazônia.;É, portanto, com grande satisfação que compareço aqui para anunciar que, pela primeira vez, desde 1997, verifica-se redução nas taxas de desmatamento da Amazônia. Os dados de 2005, divulgados no Brasil há dois dias, apontam uma acentuada redução de 31% nessas taxas. É importante notar que se verificou queda nas taxas de desmatamento em todas os estados amazônicos, mas essa queda foi particularmente forte nas áreas onde houve maior intervenção do Governo Federal por meio do Plano de Ação para Prevenção e Controle do Desmatamento na Amazonia, o mesmo plano que apresentamos em Buenos Aires.
Amazonia;COP17;2011;Durban, África do Sul;Izabella Teixeira, Ministra do Meio Ambiente;Os planos setoriais envolvem todos os setores da economia relevantes tanto para as emissões de gases do efeito estufa quanto para adaptação. Isso inclui Programas de Prevenção e Combate do Desmatamento na Amazônia e Cerrado (...);Os planos setoriais envolvem todos os setores da economia relevantes tanto para as emissões de gases do efeito estufa quanto para adaptação. Isso inclui Programas de Prevenção e Combate do Desmatamento na Amazônia e Cerrado, a redução do desmatamento nos demais biomas, plano para agricultura de baixo carbono, pesca e aquicultura, energia, transporte e indústria.
Amazonia;COP17;2011;Durban, África do Sul;Izabella Teixeira, Ministra do Meio Ambiente;O Fundo Amazônia é constituído a partir de doações baseadas nos resultados obtidos pelo Brasil na redução do desmatamento na Amazônia.;O Fundo Amazônia é constituído a partir de doações baseadas nos resultados obtidos pelo Brasil na redução do desmatamento na Amazônia. Conta hoje com pouco mais de 1 bilhão de dólares comprometidos para investimento até 2015, fruto de doações privadas e de governos estrangeiros, dentre os quais destaco a Noruega.
Amazonia;COP17;2011;Durban, África do Sul;Izabella Teixeira, Ministra do Meio Ambiente;Mas o Brasil, Senhora Presidente, não é só a Amazônia.;Mas o Brasil, Senhora Presidente, não é só a Amazônia. A redução do desmatamento vem acontecendo também nos demais biomas do país.
Amazonia;COP18;2012;Doha, Catar;Izabella Teixeira, Ministra do Meio Ambiente;Os Planos de Prevenção e Controle do Desmatamento nos Biomas Amazônia e Cerrado (PPCDAm e PPCerrado) estão gerando resultados consideráveis e consistentes de mitigação.;Os Planos de Prevenção e Controle do Desmatamento nos Biomas Amazônia e Cerrado (PPCDAm e PPCerrado) estão gerando resultados consideráveis e consistentes de mitigação. O índice de desmatamento ilegal de 2012 reduziu aproximadamente 27% se comparado com o mesmo período em 2011.
Amazonia;COP18;2012;Doha, Catar;Izabella Teixeira, Ministra do Meio Ambiente;O índice de desmatamento na Amazônia Legal para o período de 2011-2012 foi de quatro mil seiscentos e cinquenta quilômetros (4.650 km) (...);O índice de desmatamento ilegal de 2012 reduziu aproximadamente 27% se comparado com o mesmo período em 2011. O índice de desmatamento na Amazônia Legal para o período de 2011-2012 foi de quatro mil seiscentos e cinquenta quilômetros (4.650 km), em contrapartida a seis mil, quatrocentos e dezoito quilômetros (6.418km) observados no ano anterior.
Amazonia;COP18;2012;Doha, Catar;Izabella Teixeira, Ministra do Meio Ambiente;A estratégia brasileira de enfrentamento das causas do desmatamento é abrangente e transversal. Envolve desde sistemas de monitoramento da cobertura florestal na Amazônia (...);A estratégia brasileira de enfrentamento das causas do desmatamento é abrangente e transversal. Envolve desde sistemas de monitoramento da cobertura florestal na Amazônia, a operações de fiscalização, concessões e manejo florestal, e a criação, no período entre 2004 e 2010, de 50 milhões de hectares em unidades de conservação federais e estaduais.
Amazonia;COP18;2012;Doha, Catar;Izabella Teixeira, Ministra do Meio Ambiente;(...) eu gostaria de mencionar o recente Programa de Assentamentos Verdes, criado com o objetivo de prevenir e combater o desmatamento ilegal, erradicar a pobreza e promover alternativas ambientalmente amigáveis na região amazônica.;Além desses programas ambientais, eu gostaria de mencionar o recente Programa de Assentamentos Verdes, criado com o objetivo de prevenir e combater o desmatamento ilegal, erradicar a pobreza e promover alternativas ambientalmente amigáveis na região amazônica. Definiu-se como meta inicial atender 980 projetos de assentamentos com uma área total de 21 milhões de hectares em 199 municípios alcançando 190 mil famílias.
Amazonia;COP19;2013;Varsóvia, Polônia;Izabella Teixeira, Ministra do Meio Ambiente;Este ano, não obstante os esforços contínuos do Governo Brasileiro, um aumento não desejado do desmatamento foi registrado na Amzônia Brasileira.;Este ano, não obstante os esforços contínuos do Governo Brasileiro, um aumento não desejado do desmatamento foi registrado na Amzônia Brasileira. Nosso compromisso voluntário, sacramentado em forma de lei, está inalterado, e assim permanecerá.
Amazonia;COP20;2014;Lima, Peru;Izabella Teixeira, Ministra do Meio Ambiente;O fato de estarmos no Peru, um país em desenvolvimento e um país amazônico que compartilha seu bioma (...);O fato de estarmos no Peru, um país em desenvolvimento e um país amazônico que compartilha seu bioma, tão rico e variado, tanto em recursos humanos como naturais, reforça a urgência em se chegar a um consenso internacional que dê uma resposta forte e afirmativa à crise global do clima.
Amazonia;COP20;2014;Lima, Peru;Izabella Teixeira, Ministra do Meio Ambiente;Na semana passada, foram anunciadas as taxas de desmatamento da Amazônia para o período 2013/2014: houve uma redução de 18% em relação ao último período.;Na semana passada, foram anunciadas as taxas de desmatamento da Amazônia para o período 2013/2014: houve uma redução de 18% em relação ao último período. Nos últimos quatro anos, esforços permanentes para combater o desmatamento na Amazônia nos permitiram atingir a quarta menor taxa de desmatamento anual em vinte e cinco anos de monitoramento florestal em meu país.
Amazonia;COP20;2014;Lima, Peru;Izabella Teixeira, Ministra do Meio Ambiente;Estabelecemos, por força de lei, metas voluntárias ambiciosas de reduzir em até 80% o desmatamento ilegal na Amazônia até 2020 (...);Estabelecemos, por força de lei, metas voluntárias ambiciosas de reduzir em até 80% o desmatamento ilegal na Amazônia até 2020, uma meta bem mais alta do que a incluída em recente declaração voluntária sobre florestas.
Amazonia;COP20;2014;Lima, Peru;Izabella Teixeira, Ministra do Meio Ambiente;Nossos sistemas de monitoramento por satélite indicam que 23% de áreas historicamente desmatadas na região da Amazônia brasileira estão se regenerando.;Nossos sistemas de monitoramento por satélite indicam que 23% de áreas historicamente desmatadas na região da Amazônia brasileira estão se regenerando. Essas áreas em regeneração representam duas vezes e meia a área total desmatada entre 2008 e 2012.
Amazonia;COP21;2015;Paris, França;Dilma Rousseff, Presidenta;Ao longo da última década, as taxas de desmatamento na Amazônia caíram cerca de 80%. Nossos esforços de combate ao desmatamento ilegal na Amazônia ganham agora um novo patamar de ação (...);O governo e a sociedade brasileira estão fazendo a sua parte. Ao longo da última década, as taxas de desmatamento na Amazônia caíram cerca de 80%. Nossos esforços de combate ao desmatamento ilegal na Amazônia ganham agora um novo patamar de ação com a adoção da Estratégia Nacional da REDD Plus [redução das emissões por desmatamento e degradação].
Amazonia;COP21;2015;Paris, França;Dilma Rousseff, Presidenta;Alcançaremos a partir daí o desmatamento ilegal zero na Amazônia e vamos neutralizar as emissões de supressão legal de vegetação.;Alcançaremos a partir daí o desmatamento ilegal zero na Amazônia e vamos neutralizar as emissões de supressão legal de vegetação. Nosso desafio é restaurar e reflorestar 12 milhões de hectares de florestas e outros 15 milhões de hectares de pastagens degradadas.
Amazonia;COP22;2016;Marraquexe, Marrocos;José Sarney Filho, Ministro do Meio Ambiente;Nós, brasileiros, estamos preocupados com as taxas de desmatamento na Amazônia.;Nós, brasileiros, estamos preocupados com as taxas de desmatamento na Amazônia. Apesar dos extraordinários resultados alcançados desde 2004, que refletem uma redução das taxas de desmatamento acima de 70%, as altas taxas de desmatamento que permanecem exigem que fortaleçamos nossas ações coercitivas (...)
Amazonia;COP22;2016;Marraquexe, Marrocos;José Sarney Filho, Ministro do Meio Ambiente;(...) as altas taxas de desmatamento que permanecem exigem que fortaleçamos nossas ações coercitivas, continuando a combater o desmatamento ilegal e, ao mesmo tempo, proporcionando às pessoas que vivem na Amazônia alternativas econômicas viáveis e sustentáveis (...);Apesar dos extraordinários resultados alcançados desde 2004, que refletem uma redução das taxas de desmatamento acima de 70%, as altas taxas de desmatamento que permanecem exigem que fortaleçamos nossas ações coercitivas, continuando a combater o desmatamento ilegal e, ao mesmo tempo, proporcionando às pessoas que vivem na Amazônia alternativas econômicas viáveis e sustentáveis que promovem o desenvolvimento das áreas florestadas, ao reconhecer o valor econômico dos recursos florestais.
Amazonia;COP23;2017;Bonn, Alemanhã;José Sarney Filho, Ministro do Meio Ambiente;A queda chegou a alcançar 65%, na área mais crítica da Amazônia – a Floresta Nacional do Jamanxim.;Foram anunciadas as taxas de desmatamento do último ano, em unidades de conservação federais, que apontam uma redução global de 28%. A queda chegou a alcançar 65%, na área mais crítica da Amazônia – a Floresta Nacional do Jamanxim.
Amazonia;COP23;2017;Bonn, Alemanhã;José Sarney Filho, Ministro do Meio Ambiente;Registramos uma queda de 16% no desmatamento na Amazônia este ano.;No setor florestal, temos nos empenhado firmemente para reduzir as taxas de desmatamento, que estavam saindo de controle quando assumimos o governo, em junho de 2016. Registramos uma queda de 16% no desmatamento na Amazônia este ano.
Amazonia;COP24;2018;Katowice, Polônia;Edson Duarte, Ministro do Meio Ambiente;O Brasil está próximo de atingir a meta de redução de 80% no desmatamento na Amazônia até 2020 (...);O Brasil está próximo de atingir a meta de redução de 80% no desmatamento na Amazônia até 2020, apesar de a taxa observada em 2018 ter apresentado aumento em relação ao ano anterior.
Amazonia;COP24;2018;Katowice, Polônia;Edson Duarte, Ministro do Meio Ambiente;E já temos, hoje, 9,4 milhões de hectares em processo avançado de recuperação na Amazônia.;Assumimos o compromisso de recuperar 12 milhões de hectares de vegetação nativa até 2030. E já temos, hoje, 9,4 milhões de hectares em processo avançado de recuperação na Amazônia.
Amazonia;COP25;2019;Madri, Espanha;Ricardo Salles, Ministro do Meio Ambiente;Em particular, falo região amazônica, a recursos naturais, mas com o pior Índice de Desenvolvimento Humano do Brasil.;Em particular, falo região amazônica, a recursos naturais, mas com o pior Índice de Desenvolvimento Humano do Brasil.
Amazonia;COP25;2019;Madri, Espanha;Ricardo Salles, Ministro do Meio Ambiente;Também represento um país que tem mais de 60% de sua vegetação nativa preservada e 80% de sua floresta amazônica intacta (...);Também represento um país que tem mais de 60% de sua vegetação nativa preservada e 80% de sua floresta amazônica intacta, contemplada com a mais restritiva das legislações ambientais, o Código Florestal Brasileiro.
Amazonia;COP25;2019;Madri, Espanha;Ricardo Salles, Ministro do Meio Ambiente;Todos esses dados deixam de ser adequadamente considerados quando as pessoas se referem aos desafios enfrentados pela região amazônica.;Um país que desenvolveu o biocombustível base de etanol, fonte renovável de energia, substituindo os combustíveis fósseis amplamente utilizados nos países ricos. 84% de nossa rede elétrica é abastecida por fontes renováveis de energia (biomassa, eólica, solar e hidrelétrica), enquanto muitos outros países que ainda são altamente dependentes em carvão, que abastece seus simbólicos carros elétricos. Todos esses dados deixam de ser adequadamente considerados quando as pessoas se referem aos desafios enfrentados pela região amazônica. O Brasil está fortemente comprometido na luta contra a mudança do clima, em benefício de todo o planeta.
Amazonia;COP26;2021;Glasgow, Escócia;Joaquim Leite, Ministro do Meio Ambiente;Para conter o desmatamento ilegal na Amazônia, o Governo Federal dobrou os recursos destinados às agências ambientais federais e promoveu a abertura de concursos para 739 novos agentes ambientais.;Para conter o desmatamento ilegal na Amazônia, o Governo Federal dobrou os recursos destinados às agências ambientais federais e promoveu a abertura de concursos para 739 novos agentes ambientais. Além disso, o Ministério da Justiça intensificou as ações de comando e controle, com 700 homens da Força Nacional em campo, que atuam em 23 municípios de forma ostensiva e permanente.
